Date,Day,Category,Description,Estimated,Actual,Payment_Method,Notes,Variance
2026-03-01,Sunday,Groceries,Weekly grocery shopping,120.00,,Credit Card,,
2026-03-01,Sunday,Entertainment,Movie night,25.00,,Cash,,
2026-03-02,Monday,Transportation,Fuel,50.00,,Debit Card,,
2026-03-02,Monday,Food,Lunch,15.00,,Cash,,
2026-03-03,Tuesday,Utilities,Internet bill,65.00,,Auto-Pay,,
2026-03-03,Tuesday,Food,Coffee & snack,10.00,,Credit Card,,
2026-03-04,Wednesday,Food,Lunch,15.00,,Cash,,
2026-03-04,Wednesday,Shopping,Office supplies,30.00,,Credit Card,,
2026-03-05,Thursday,Food,Dinner out,45.00,,Credit Card,,
2026-03-05,Thursday,Healthcare,Pharmacy,20.00,,Debit Card,,
2026-03-06,Friday,Transportation,Parking,15.00,,Cash,,
2026-03-06,Friday,Food,Lunch,15.00,,Cash,,
2026-03-07,Saturday,Entertainment,Weekend activities,50.00,,Credit Card,,
2026-03-07,Saturday,Groceries,Fresh produce,40.00,,Debit Card,,
2026-03-08,Sunday,Food,Brunch,35.00,,Credit Card,,
2026-03-08,Sunday,Personal Care,Haircut,40.00,,Cash,,
2026-03-09,Monday,Transportation,Fuel,50.00,,Debit Card,,
2026-03-09,Monday,Food,Lunch,15.00,,Cash,,
2026-03-10,Tuesday,Utilities,Electric bill,95.00,,Auto-Pay,,
2026-03-10,Tuesday,Food,Coffee,8.00,,Credit Card,,
2026-03-11,Wednesday,Food,Lunch,15.00,,Cash,,
2026-03-11,Wednesday,Subscription,Streaming service,12.99,,Auto-Pay,,
2026-03-12,Thursday,Food,Groceries,80.00,,Credit Card,,
2026-03-12,Thursday,Transportation,Car wash,25.00,,Cash,,
2026-03-13,Friday,Food,Lunch,15.00,,Cash,,
2026-03-13,Friday,Entertainment,Concert tickets,75.00,,Credit Card,,
2026-03-14,Saturday,Shopping,Clothing,100.00,,Credit Card,,
2026-03-14,Saturday,Food,Dinner out,60.00,,Credit Card,,
2026-03-15,Sunday,Entertainment,Sports event,45.00,,Debit Card,,
2026-03-15,Sunday,Food,Snacks,20.00,,Cash,,
2026-03-16,Monday,Transportation,Fuel,50.00,,Debit Card,,
2026-03-16,Monday,Food,Lunch,15.00,,Cash,,
2026-03-17,Tuesday,Utilities,Water bill,45.00,,Auto-Pay,,
2026-03-17,Tuesday,Food,Coffee & pastry,12.00,,Credit Card,,
2026-03-18,Wednesday,Food,Lunch,15.00,,Cash,,
2026-03-18,Wednesday,Healthcare,Gym membership,55.00,,Auto-Pay,,
2026-03-19,Thursday,Groceries,Weekly shopping,110.00,,Credit Card,,
2026-03-19,Thursday,Food,Takeout,30.00,,Debit Card,,
2026-03-20,Friday,Food,Lunch,15.00,,Cash,,
2026-03-20,Friday,Entertainment,Book purchase,25.00,,Credit Card,,
2026-03-21,Saturday,Transportation,Uber/Taxi,35.00,,Credit Card,,
2026-03-21,Saturday,Food,Restaurant dinner,70.00,,Credit Card,,
2026-03-22,Sunday,Personal Care,Spa/Wellness,85.00,,Credit Card,,
2026-03-22,Sunday,Groceries,Fresh items,35.00,,Debit Card,,
2026-03-23,Monday,Transportation,Fuel,50.00,,Debit Card,,
2026-03-23,Monday,Food,Lunch,15.00,,Cash,,
2026-03-24,Tuesday,Utilities,Phone bill,55.00,,Auto-Pay,,
2026-03-24,Tuesday,Food,Coffee,8.00,,Credit Card,,
2026-03-25,Wednesday,Food,Lunch,15.00,,Cash,,
2026-03-25,Wednesday,Shopping,Home supplies,45.00,,Credit Card,,
2026-03-26,Thursday,Food,Groceries,95.00,,Credit Card,,
2026-03-26,Thursday,Entertainment,Gaming,30.00,,Credit Card,,
2026-03-27,Friday,Food,Lunch,15.00,,Cash,,
2026-03-27,Friday,Transportation,Parking,15.00,,Cash,,
2026-03-28,Saturday,Entertainment,Weekend outing,55.00,,Credit Card,,
2026-03-28,Saturday,Food,Dinner out,65.00,,Credit Card,,
2026-03-29,Sunday,Personal Care,Personal items,40.00,,Debit Card,,
2026-03-29,Sunday,Food,Sunday brunch,40.00,,Credit Card,,
2026-03-30,Monday,Transportation,Fuel,50.00,,Debit Card,,
2026-03-30,Monday,Food,Lunch,15.00,,Cash,,
2026-03-31,Tuesday,Utilities,Gas bill,75.00,,Auto-Pay,,
2026-03-31,Tuesday,Savings,Monthly savings transfer,200.00,,Transfer,,
